Home,xG,Score,xG,Away
Southampton,1.5,2–2,1.5,Leicester City
Watford,1.0,1–2,1.3,Chelsea
Wolves,0.7,0–0,0.2,Burnley
West Ham,1.6,1–1,1.1,Brighton
Manchester Utd,1.9,3–2,1.5,Arsenal
Tottenham,2.4,2–0,0.3,Brentford
Watford,0.7,1–3,3.6,Manchester City
Wolves,0.2,0–1,2.5,Liverpool
Southampton,1.4,1–1,1.4,Brighton
Newcastle Utd,1.3,1–0,0.7,Burnley
West Ham,1.8,3–2,1.2,Chelsea
Aston Villa,2.0,2–1,1.4,Leicester City
Manchester Utd,1.1,1–0,0.9,Crystal Palace
Tottenham,1.7,3–0,1.6,Norwich City
Leeds United,1.2,2–2,1.0,Brentford
Everton,1.0,2–1,1.2,Arsenal
Brentford,1.9,2–1,0.6,Watford
Norwich City,0.9,0–1,2.0,Manchester Utd
Arsenal,1.5,3–0,0.6,Southampton
Liverpool,2.5,1–0,0.4,Aston Villa
Chelsea,2.8,3–2,1.4,Leeds United
Manchester City,3.5,1–0,0.2,Wolves
Crystal Palace,1.6,3–1,1.3,Everton
Brighton,,,,Tottenham
Leicester City,2.5,4–0,0.7,Newcastle Utd
Burnley,0.7,0–0,0.6,West Ham
Manchester City,3.6,7–0,0.2,Leeds United
Norwich City,0.5,0–2,1.7,Aston Villa
Arsenal,2.7,2–0,0.3,West Ham
Crystal Palace,1.2,2–2,0.7,Southampton
Brighton,1.1,0–1,1.3,Wolves
Liverpool,2.4,3–1,0.3,Newcastle Utd
Chelsea,2.7,1–1,0.4,Everton
Leeds United,1.6,1–4,3.2,Arsenal
Aston Villa,,,,Burnley
Tottenham,3.4,2–2,1.5,Liverpool
Newcastle Utd,0.4,0–4,3.1,Manchester City
Wolves,0.3,0–0,0.8,Chelsea
Brighton,0.9,2–0,0.9,Brentford
Aston Villa,0.6,1–3,2.8,Chelsea
Tottenham,2.5,3–0,0.2,Crystal Palace
Burnley,,,,Everton
Norwich City,0.1,0–5,2.5,Arsenal
West Ham,1.7,2–3,1.3,Southampton
Manchester City,3.4,6–3,2.3,Leicester City
Wolves,,,,Watford
Newcastle Utd,1.1,1–1,1.2,Manchester Utd
Leicester City,0.6,1–0,2.5,Liverpool
Leeds United,,,,Aston Villa
Crystal Palace,2.0,3–0,1.2,Norwich City
Watford,1.1,1–4,2.9,West Ham
Southampton,0.4,1–1,2.4,Tottenham
Brentford,0.3,0–1,0.8,Manchester City
Chelsea,1.1,1–1,0.9,Brighton
Manchester Utd,2.0,3–1,0.8,Burnley
Everton,,,,Newcastle Utd
Crystal Palace,2.2,2–3,2.0,West Ham
Watford,0.3,0–1,2.0,Tottenham
Leicester City,,,,Norwich City
Arsenal,1.0,1–2,1.8,Manchester City
Chelsea,1.3,2–2,1.3,Liverpool
Southampton,,,,Newcastle Utd
Everton,1.7,2–3,1.5,Brighton
Leeds United,1.6,3–1,1.0,Burnley
Brentford,0.6,2–1,1.2,Aston Villa
Manchester Utd,0.8,0–1,0.7,Wolves
Everton,,,,Leicester City
Southampton,1.6,4–1,0.7,Brentford
West Ham,2.1,2–0,0.4,Norwich City
Brighton,2.1,1–1,0.3,Crystal Palace
Aston Villa,2.1,2–2,1.0,Manchester Utd
Burnley,,,,Leicester City
Norwich City,0.6,2–1,0.8,Everton
Wolves,2.2,3–1,1.0,Southampton
Newcastle Utd,1.4,1–1,1.5,Watford
Manchester City,0.7,1–0,0.5,Chelsea
Tottenham,,,,Arsenal
Liverpool,3.1,3–0,0.5,Brentford
West Ham,2.0,2–3,2.3,Leeds United
Brighton,0.6,1–1,0.7,Chelsea
Brentford,2.2,1–3,2.3,Manchester Utd
Leicester City,1.5,2–3,3.7,Tottenham
Watford,1.1,0–3,0.7,Norwich City
Southampton,1.0,1–1,1.5,Manchester City
Leeds United,1.0,0–1,1.1,Newcastle Utd
Manchester Utd,1.8,1–0,0.3,West Ham
Brentford,1.3,1–2,0.2,Wolves
